party,text_type,num_words
AfD,interruption,468.274678111588
AfD,main_text,7856.9152542372885
BÜNDNIS 90/DIE GRÜNEN,interruption,422.9282700421941
BÜNDNIS 90/DIE GRÜNEN,main_text,6969.360169491525
CDU/CSU,interruption,355.1603375527426
CDU/CSU,main_text,22119.135021097045
DIE LINKE,interruption,312.45299145299145
DIE LINKE,main_text,5993.118644067797
FDP,interruption,321.65384615384613
FDP,main_text,6796.406779661017
SPD,interruption,281.7191489361702
SPD,main_text,14043.472573839663
