party,text_type,text_length
AfD,interruption,3444.901287553648
AfD,main_text,57080.66525423729
BÜNDNIS 90/DIE GRÜNEN,interruption,3128.6329113924053
BÜNDNIS 90/DIE GRÜNEN,main_text,49251.30508474576
CDU/CSU,interruption,2669.409282700422
CDU/CSU,main_text,159343.23628691983
DIE LINKE,interruption,2343.277777777778
DIE LINKE,main_text,43057.21610169492
FDP,interruption,2408.6923076923076
FDP,main_text,48227.97881355932
SPD,interruption,2109.8468085106383
SPD,main_text,99855.03375527426
